Area,Year,Value
Rwanda,2017,3.05
Rwanda,2018,2.89
Rwanda,2019,2.98
Rwanda,2020,3.3
Rwanda,2021,3.31
Rwanda,2022,3.87
Rwanda,2023,4.59
Rwanda,2024,4.52
Saint Kitts and Nevis,2017,3.37
Saint Kitts and Nevis,2018,3.51
Saint Kitts and Nevis,2019,3.65
Saint Kitts and Nevis,2020,3.81
Saint Kitts and Nevis,2021,3.95
Saint Kitts and Nevis,2022,4.59
Saint Kitts and Nevis,2023,4.84
Saint Kitts and Nevis,2024,5.04
Saint Lucia,2017,3.6
Saint Lucia,2018,3.8
Saint Lucia,2019,4.03
Saint Lucia,2020,4.41
Saint Lucia,2021,4.57
Saint Lucia,2022,4.9
Saint Lucia,2023,5.22
Saint Lucia,2024,5.16
Saint Vincent and the Grenadines,2017,4.3
Saint Vincent and the Grenadines,2018,4.44
Saint Vincent and the Grenadines,2019,4.48
Saint Vincent and the Grenadines,2020,4.65
Saint Vincent and the Grenadines,2021,4.87
Saint Vincent and the Grenadines,2022,5.48
Saint Vincent and the Grenadines,2023,6.03
Saint Vincent and the Grenadines,2024,6.43
Sao Tome and Principe,2017,2.31
Sao Tome and Principe,2018,2.63
Sao Tome and Principe,2019,2.98
Sao Tome and Principe,2020,3.29
Sao Tome and Principe,2021,3.8
Sao Tome and Principe,2022,4.17
Sao Tome and Principe,2023,4.43
Sao Tome and Principe,2024,4.64
Saudi Arabia,2017,2.46
Saudi Arabia,2018,2.46
Saudi Arabia,2019,2.48
Saudi Arabia,2020,2.43
Saudi Arabia,2021,2.62
Saudi Arabia,2022,2.87
Saudi Arabia,2023,2.96
Saudi Arabia,2024,3.02
Senegal,2017,2.65
Senegal,2018,2.72
Senegal,2019,2.79
Senegal,2020,2.88
Senegal,2021,3.04
Senegal,2022,3.44
Senegal,2023,3.63
Senegal,2024,3.73
Serbia,2017,3.56
Serbia,2018,3.64
Serbia,2019,3.84
Serbia,2020,3.86
Serbia,2021,4.01
Serbia,2022,4.64
Serbia,2023,5.19
Serbia,2024,5.28
Seychelles,2017,3.53
Seychelles,2018,3.5
Seychelles,2019,3.53
Seychelles,2020,3.46
Seychelles,2021,3.79
Seychelles,2022,4.05
Seychelles,2023,4.22
Seychelles,2024,4.31
Sierra Leone,2017,2.64
Sierra Leone,2018,2.8
Sierra Leone,2019,2.76
Sierra Leone,2020,2.83
Sierra Leone,2021,3.08
Sierra Leone,2022,3.39
Sierra Leone,2023,3.74
Sierra Leone,2024,3.84
Singapore,2017,2.78
Singapore,2018,2.86
Singapore,2019,2.92
Singapore,2020,3.0
Singapore,2021,3.09
Singapore,2022,3.31
Singapore,2023,3.46
Singapore,2024,3.52
Sint Maarten (Dutch part),2017,4.43
Sint Maarten (Dutch part),2018,4.58
Sint Maarten (Dutch part),2019,4.67
Sint Maarten (Dutch part),2020,4.78
Sint Maarten (Dutch part),2021,4.82
Sint Maarten (Dutch part),2022,4.93
Sint Maarten (Dutch part),2023,5.06
Sint Maarten (Dutch part),2024,5.17
Slovakia,2017,2.46
Slovakia,2018,2.53
Slovakia,2019,2.69
Slovakia,2020,2.89
Slovakia,2021,3.01
Slovakia,2022,3.54
Slovakia,2023,4.14
Slovakia,2024,4.25
Slovenia,2017,2.6
Slovenia,2018,2.7
Slovenia,2019,2.85
Slovenia,2020,2.98
Slovenia,2021,3.01
Slovenia,2022,3.42
Slovenia,2023,3.72
Slovenia,2024,3.81
Somalia,2017,3.61
Somalia,2018,3.88
Somalia,2019,3.98
Somalia,2020,3.93
Somalia,2021,4.08
Somalia,2022,4.65
Somalia,2023,4.65
Somalia,2024,4.47
South Africa,2017,3.0
South Africa,2018,2.94
South Africa,2019,2.94
South Africa,2020,3.0
South Africa,2021,3.14
South Africa,2022,3.46
South Africa,2023,3.76
South Africa,2024,3.89
South Sudan,2017,3.13
South Sudan,2018,3.11
South Sudan,2019,3.55
South Sudan,2020,3.41
South Sudan,2021,3.9
South Sudan,2022,4.09
South Sudan,2023,5.33
South Sudan,2024,8.39
Spain,2017,2.53
Spain,2018,2.57
Spain,2019,2.7
Spain,2020,2.75
Spain,2021,2.94
Spain,2022,3.4
Spain,2023,3.83
Spain,2024,3.98
Sri Lanka,2017,3.86
Sri Lanka,2018,3.81
Sri Lanka,2019,3.7
Sri Lanka,2020,3.65
Sri Lanka,2021,4.27
Sri Lanka,2022,4.87
Sri Lanka,2023,4.89
Sri Lanka,2024,5.16
Sudan,2017,2.59
Sudan,2018,2.77
Sudan,2019,2.87
Sudan,2020,2.86
Sudan,2021,3.03
Sudan,2022,2.75
Sudan,2023,2.94
Sudan,2024,3.32
Suriname,2017,4.4
Suriname,2018,4.33
Suriname,2019,4.67
Suriname,2020,4.94
Suriname,2021,5.44
Suriname,2022,5.88
Suriname,2023,6.4
Suriname,2024,6.16
Sweden,2017,2.71
Sweden,2018,2.77
Sweden,2019,2.91
Sweden,2020,3.0
Sweden,2021,3.06
Sweden,2022,3.5
Sweden,2023,3.83
Sweden,2024,3.89
Switzerland,2017,2.39
Switzerland,2018,2.45
Switzerland,2019,2.55
Switzerland,2020,2.59
Switzerland,2021,2.63
Switzerland,2022,2.84
Switzerland,2023,3.01
Switzerland,2024,3.07
Syrian Arab Republic,2017,2.5
Syrian Arab Republic,2018,2.54
Syrian Arab Republic,2019,2.61
Syrian Arab Republic,2020,3.91
Syrian Arab Republic,2021,5.01
Syrian Arab Republic,2022,5.4
Syrian Arab Republic,2023,5.61
Syrian Arab Republic,2024,5.77
Tajikistan,2017,2.99
Tajikistan,2018,2.99
Tajikistan,2019,3.17
Tajikistan,2020,3.43
Tajikistan,2021,3.53
Tajikistan,2022,3.68
Tajikistan,2023,3.68
Tajikistan,2024,3.62
Thailand,2017,4.27
Thailand,2018,4.34
Thailand,2019,4.5
Thailand,2020,4.65
Thailand,2021,4.75
Thailand,2022,5.17
Thailand,2023,5.46
Thailand,2024,5.65
Togo,2017,2.54
Togo,2018,2.6
Togo,2019,2.65
Togo,2020,2.81
Togo,2021,3.12
Togo,2022,3.5
Togo,2023,3.58
Togo,2024,3.76
Trinidad and Tobago,2017,3.72
Trinidad and Tobago,2018,3.87
Trinidad and Tobago,2019,3.93
Trinidad and Tobago,2020,4.11
Trinidad and Tobago,2021,4.43
Trinidad and Tobago,2022,4.98
Trinidad and Tobago,2023,5.35
Trinidad and Tobago,2024,5.56
Tunisia,2017,3.66
Tunisia,2018,3.72
Tunisia,2019,3.79
Tunisia,2020,3.81
Tunisia,2021,3.97
Tunisia,2022,4.38
Tunisia,2023,4.77
Tunisia,2024,5.02
Türkiye,2017,3.45
Türkiye,2018,3.59
Türkiye,2019,3.88
Türkiye,2020,3.73
Türkiye,2021,3.8
Türkiye,2022,4.44
Türkiye,2023,4.65
Türkiye,2024,4.77
Turks and Caicos Islands,2017,2.8
Turks and Caicos Islands,2018,2.91
Turks and Caicos Islands,2019,2.99
Turks and Caicos Islands,2020,3.13
Turks and Caicos Islands,2021,3.27
Turks and Caicos Islands,2022,3.63
Turks and Caicos Islands,2023,3.88
Turks and Caicos Islands,2024,4.05
Uganda,2017,3.12
Uganda,2018,3.03
Uganda,2019,2.93
Uganda,2020,2.9
Uganda,2021,2.95
Uganda,2022,3.36
Uganda,2023,3.68
Uganda,2024,3.65
United Arab Emirates,2017,2.46
United Arab Emirates,2018,2.74
United Arab Emirates,2019,2.87
United Arab Emirates,2020,2.85
United Arab Emirates,2021,2.66
United Arab Emirates,2022,2.93
United Arab Emirates,2023,3.11
United Arab Emirates,2024,3.22
United Kingdom of Great Britain and Northern Ireland,2017,1.7
United Kingdom of Great Britain and Northern Ireland,2018,1.75
United Kingdom of Great Britain and Northern Ireland,2019,1.83
United Kingdom of Great Britain and Northern Ireland,2020,1.86
United Kingdom of Great Britain and Northern Ireland,2021,1.9
United Kingdom of Great Britain and Northern Ireland,2022,2.21
United Kingdom of Great Britain and Northern Ireland,2023,2.5
United Kingdom of Great Britain and Northern Ireland,2024,2.56
United Republic of Tanzania,2017,2.14
United Republic of Tanzania,2018,2.3
United Republic of Tanzania,2019,2.45
United Republic of Tanzania,2020,2.64
United Republic of Tanzania,2021,2.79
United Republic of Tanzania,2022,3.1
United Republic of Tanzania,2023,3.32
United Republic of Tanzania,2024,3.37
United States of America,2017,2.17
United States of America,2018,2.18
United States of America,2019,2.2
United States of America,2020,2.28
United States of America,2021,2.36
United States of America,2022,2.63
United States of America,2023,2.76
United States of America,2024,2.79
Uruguay,2017,2.78
Uruguay,2018,2.93
Uruguay,2019,3.08
Uruguay,2020,3.45
Uruguay,2021,3.65
Uruguay,2022,4.01
Uruguay,2023,4.29
Uruguay,2024,4.41
Uzbekistan,2017,4.11
Uzbekistan,2018,4.06
Uzbekistan,2019,4.0
Uzbekistan,2020,3.97
Uzbekistan,2021,4.06
Uzbekistan,2022,4.52
Uzbekistan,2023,4.78
Uzbekistan,2024,4.67
Viet Nam,2017,3.27
Viet Nam,2018,3.33
Viet Nam,2019,3.47
Viet Nam,2020,3.79
Viet Nam,2021,3.88
Viet Nam,2022,4.17
Viet Nam,2023,4.35
Viet Nam,2024,4.49
Zambia,2017,2.73
Zambia,2018,2.79
Zambia,2019,2.88
Zambia,2020,2.96
Zambia,2021,3.28
Zambia,2022,3.61
Zambia,2023,3.81
Zambia,2024,3.99
Zimbabwe,2017,3.54
Zimbabwe,2018,
Zimbabwe,2019,
Zimbabwe,2020,
Zimbabwe,2021,
Zimbabwe,2022,
Zimbabwe,2023,
Zimbabwe,2024,
