Area,Year,ValueTotal
Sierra Leone,2022,8276807.000000001
Sierra Leone,2023,8460512.0
Singapore,2017,5604078.0
Singapore,2018,5634369.0
Singapore,2019,5669563.0
Singapore,2020,5620150.0
Singapore,2021,5546290.0
Singapore,2022,5649885.0
Singapore,2023,5789090.0
Slovakia,2017,5435700.0
Slovakia,2018,5443232.0
Slovakia,2019,5450626.0
Slovakia,2020,5455024.0
Slovakia,2021,5442759.0
Slovakia,2022,5473197.0
Slovakia,2023,5518055.0
Slovenia,2017,2062409.9999999998
Slovenia,2018,2069481.0000000002
Slovenia,2019,2083438.9999999998
Slovenia,2020,2102419.0
Slovenia,2021,2113494.0
Slovenia,2022,2115228.0
Slovenia,2023,2118396.0
South Africa,2017,57635162.0
South Africa,2018,58613000.0
South Africa,2019,59587885.0
South Africa,2020,60562381.0
South Africa,2021,61502603.0
South Africa,2022,62378410.0
South Africa,2023,63212384.0
Spain,2017,46868596.0
Spain,2018,47092821.0
Spain,2019,47435119.0
Spain,2020,47679489.0
Spain,2021,47735664.0
Spain,2022,47828382.0
Spain,2023,47911579.0
Sri Lanka,2017,22087522.0
Sri Lanka,2018,22253118.0
Sri Lanka,2019,22410552.0
Sri Lanka,2020,22561807.0
Sri Lanka,2021,22700372.0
Sri Lanka,2022,22834965.0
Sri Lanka,2023,22971617.0
Suriname,2017,593713.0
Suriname,2018,599513.0
Suriname,2019,605768.0
Suriname,2020,612317.0
Suriname,2021,617896.0
Suriname,2022,623164.0
Suriname,2023,628886.0
Sweden,2017,10057862.0
Sweden,2018,10175405.0
Sweden,2019,10279125.0
Sweden,2020,10353686.0
Sweden,2021,10416131.0
Sweden,2022,10487338.0
Sweden,2023,10551494.0
Switzerland,2017,8453628.0
Switzerland,2018,8516344.0
Switzerland,2019,8577524.0
Switzerland,2020,8640582.0
Switzerland,2021,8707023.0
Switzerland,2022,8792182.0
Switzerland,2023,8870561.0
Tajikistan,2017,9085946.0
Tajikistan,2018,9307333.0
Tajikistan,2019,9529966.0
Tajikistan,2020,9749310.0
Tajikistan,2021,9966908.0
Tajikistan,2022,10182222.0
Tajikistan,2023,10389799.0
Thailand,2017,71160187.0
Thailand,2018,71376079.0
Thailand,2019,71522271.0
Thailand,2020,71641484.0
Thailand,2021,71727332.0
Thailand,2022,71735329.0
Thailand,2023,71702435.0
Timor-Leste,2017,1251703.0
Timor-Leste,2018,1275959.0
Timor-Leste,2019,1300945.0
Timor-Leste,2020,1326053.0
Timor-Leste,2021,1350139.0
Timor-Leste,2022,1369295.0
Timor-Leste,2023,1384286.0
Togo,2017,8057140.0
Togo,2018,8258778.0
Togo,2019,8463068.0
Togo,2020,8669720.0
Togo,2021,8878379.0
Togo,2022,9089738.0
Togo,2023,9304337.0
Tonga,2017,105356.0
Tonga,2018,105567.0
Tonga,2019,105669.0
Tonga,2020,105704.0
Tonga,2021,105490.0
Tonga,2022,105042.0
Tonga,2023,104597.0
Trinidad and Tobago,2017,1445261.0
Trinidad and Tobago,2018,1470518.0
Trinidad and Tobago,2019,1484894.0
Trinidad and Tobago,2020,1481024.0
Trinidad and Tobago,2021,1487717.0
Trinidad and Tobago,2022,1495921.0
Trinidad and Tobago,2023,1502932.0
Tunisia,2017,11650498.0
Tunisia,2018,11765514.0
Tunisia,2019,11875081.0
Tunisia,2020,11974057.0
Tunisia,2021,12048622.0
Tunisia,2022,12119334.0
Tunisia,2023,12200431.0
Türkiye,2017,83083662.0
Türkiye,2018,84415969.0
Türkiye,2019,85357672.0
Türkiye,2020,86091692.0
Türkiye,2021,86686253.0
Türkiye,2022,87058473.0
Türkiye,2023,87270501.0
Turkmenistan,2017,6507061.0
Turkmenistan,2018,6655524.0
Turkmenistan,2019,6803944.0
Turkmenistan,2020,6949912.0
Turkmenistan,2021,7092043.0
Turkmenistan,2022,7230193.0
Turkmenistan,2023,7364438.0
Ukraine,2017,45436041.0
Ukraine,2018,45208907.0
Ukraine,2019,44957458.0
Ukraine,2020,44680014.0
Ukraine,2021,44298640.0
Ukraine,2022,41048766.0
Ukraine,2023,37732836.0
United Kingdom of Great Britain and Northern Ireland,2017,66354471.00000001
United Kingdom of Great Britain and Northern Ireland,2018,66752475.00000001
United Kingdom of Great Britain and Northern Ireland,2019,67110958.0
United Kingdom of Great Britain and Northern Ireland,2020,67351861.0
United Kingdom of Great Britain and Northern Ireland,2021,67668792.0
United Kingdom of Great Britain and Northern Ireland,2022,68179315.0
United Kingdom of Great Britain and Northern Ireland,2023,68682962.0
United Republic of Tanzania,2017,55652890.0
United Republic of Tanzania,2018,57437144.0
United Republic of Tanzania,2019,59174891.0
United Republic of Tanzania,2020,60972798.0
United Republic of Tanzania,2021,62830412.0
United Republic of Tanzania,2022,64711821.0
United Republic of Tanzania,2023,66617606.0
United States of America,2017,332204660.0
United States of America,2018,335056497.0
United States of America,2019,337790067.0
United States of America,2020,339436159.0
United States of America,2021,340161441.0
United States of America,2022,341534045.0
United States of America,2023,343477335.0
Uruguay,2017,3388438.0
Uruguay,2018,3394534.0
Uruguay,2019,3397206.0
Uruguay,2020,3398968.0
Uruguay,2021,3396695.0
Uruguay,2022,3390913.0
Uruguay,2023,3388081.0
Uzbekistan,2017,31819178.0
Uzbekistan,2018,32373490.0
Uzbekistan,2019,32964701.0
Uzbekistan,2020,33586372.0
Uzbekistan,2021,34243696.0
Uzbekistan,2022,34938955.0
Uzbekistan,2023,35652307.0
Vanuatu,2017,278507.0
Vanuatu,2018,285259.0
Vanuatu,2019,291985.0
Vanuatu,2020,298858.0
Vanuatu,2021,305868.0
Vanuatu,2022,313046.0
Vanuatu,2023,320409.0
Viet Nam,2017,95176977.0
Viet Nam,2018,96237319.0
Viet Nam,2019,97173776.0
Viet Nam,2020,98079191.0
Viet Nam,2021,98935098.0
Viet Nam,2022,99680655.0
Viet Nam,2023,100352192.0
Yemen,2017,33090921.000000004
Yemen,2018,34085182.0
Yemen,2019,35111408.0
Yemen,2020,36134863.0
Yemen,2021,37140230.0
Yemen,2022,38222876.0
Yemen,2023,39390799.0
Zambia,2017,17441320.0
Zambia,2018,17973569.0
Zambia,2019,18513839.0
Zambia,2020,19059395.0
Zambia,2021,19603607.0
Zambia,2022,20152938.0
Zambia,2023,20723965.0
Zimbabwe,2017,14812482.0
Zimbabwe,2018,15034452.0
Zimbabwe,2019,15271368.0
Zimbabwe,2020,15526888.0
Zimbabwe,2021,15797210.0
Zimbabwe,2022,16069056.0
Zimbabwe,2023,16340822.0
